scp_number,title,object_class,description,procedures,image_url
SCP-002,The Living Room,Euclid,"SCP-002 is a large, fleshy, tumorous growth that measures roughly 60 square meters when fully grown. It is capable of assimilating biological matter and converting it into furniture. The interior resembles a large, poorly furnished room in the style of an average low-income apartment.","SCP-002 must remain connected to a suitable power supply to keep it in a state of dormancy. It must be kept in a locked, sealed room at all times when not being tested.",images/1727755253_Initial_Discovery_of_SCP-002.webp
SCP-003,Biological Motherboard,Euclid,"SCP-003 consists of two components, SCP-003-1 and SCP-003-2, that resemble a biological motherboard and a crystalline shell, respectively. SCP-003-1 is capable of absorbing biological material and growing in size. SCP-003-2 acts as a containment measure.","SCP-003-1 must be kept at a temperature of at least 35°C to prevent it from becoming active. In the event of a containment breach, all relevant personnel are to initiate emergency procedures immediately.",images/1727755389_SCP-003.webp
SCP-004,Biological Motherboard,Euclid,"SCP-004 consists of an old wooden door and 12 rusted keys. When any of the keys are used to unlock the door, it opens into various anomalous locations, depending on the key used. The destinations range from empty rooms to unknown, hostile environments.",SCP-004 is to be kept under 24-hour surveillance. Only personnel with level 4 clearance are permitted access to SCP-004 and its keys. Testing must be authorized by two clearance level 4 personnel.,images/1727755420_Door_with_keys.webp
SCP-005,The Skeleton Key,Safe,"SCP-005 is a seemingly normal key that fits any lock. Its anomalous property is that it can unlock any door, regardless of the locking mechanism. SCP-005 cannot be used to unlock locks that are not mechanical in nature.",SCP-005 is to be kept in a secure storage locker. Access to SCP-005 is restricted to personnel with level 3 clearance. Testing is to be conducted in a controlled environment.,images/1727755463_SCP-005.webp
SCP-006,Fountain of Youth,Safe,SCP-006 is a small spring located in a forest that produces water with rejuvenating properties. The water grants temporary resistance to disease and aging when consumed. Long-term effects are still under investigation.,Access to SCP-006 is restricted to Level 4 personnel. Consumption of the water from SCP-006 is strictly prohibited unless approved by two level 5 personnel for testing purposes.,images/1727755496_SCP-006.webp
SCP-007,Abdominal Planet,Euclid,"SCP-007 is located within the abdomen of a human male. The subject\'s abdomen contains a miniature planet, approximately 60cm in diameter, with geographical features resembling Earth. The planet shows signs of a small, self-sustaining ecosystem.",SCP-007 is to be contained within a sealed chamber. No personnel are to interact with SCP-007 outside of approved testing. All interactions must be logged and reported.,images/1727756338_SCP-007.webp
SCP-008,Zombie Plague,Euclid,"SCP-008 is a complex prion with 100% infectiousness. It causes a slow, zombification process in human subjects, leading to a loss of higher brain functions and a near-insatiable hunger. SCP-008 is highly contagious and spreads through bodily fluids.","SCP-008 is to be kept in a refrigerated, airtight container. Testing and experimentation with SCP-008 are only permitted with level 4 clearance. All personnel must wear biohazard suits when handling SCP-008.",images/1727756367_SCP-008.webp
SCP-009,Red Ice,Euclid,"SCP-009 is a red-coloured ice that has anomalous freezing properties. It can cause water to freeze at room temperature and is capable of rapid expansion, posing a containment risk. SCP-009 poses a significant threat if allowed to spread.","SCP-009 is to be stored in a secure, airtight container always. The containment area must be kept below always freezing to prevent SCP-009 from spreading. Any breach must be reported immediately.",images/1727756417_SCP-009.webp
SCP-010,Collars of Control,Safe,"SCP-010 consists of several collars and a remote control. When worn, the collars can control the wearer\'s actions and even override their free will. The remote control can issue commands to the collars, allowing for complete control over the subject.",SCP-010 is to be kept in a secure locker. Access to SCP-010 is restricted to personnel with level 3 clearance. Testing is to be conducted in a controlled environment with approved personnel.,images/1727756457_SCP-010.webp
SCP-011,Sentient Civil War Memorial Statue,Safe,"SCP-011 is a statue of a soldier from the American Civil War that has shown signs of sentience. The statue occasionally \""sheds tears\"" and has been observed moving slightly, especially when left unobserved. SCP-011 has no known means of locomotion.","SCP-011 is to be kept in a museum display. The statue must be monitored at all times, and any movement or shedding of tears must be reported. Testing involving SCP-011 requires approval from level 3 personnel.",images/1727756547_SCP-011.webp
